Feature,Importance
COH.B.theta.j.Cz.m.T5,0.0
COH.B.theta.j.Cz.n.P3,0.0
COH.B.theta.j.Cz.o.Pz,0.0
COH.B.theta.j.Cz.p.P4,0.0
COH.B.theta.j.Cz.q.T6,0.0
COH.B.theta.j.Cz.r.O1,0.0
COH.B.theta.j.Cz.s.O2,0.0
COH.B.theta.k.C4.l.T4,0.0
COH.B.theta.k.C4.m.T5,0.0
COH.B.theta.k.C4.n.P3,0.0
COH.B.theta.k.C4.o.Pz,0.0
COH.B.theta.k.C4.q.T6,0.0
COH.B.theta.k.C4.r.O1,0.0
COH.B.theta.k.C4.s.O2,0.0
COH.B.theta.l.T4.m.T5,0.0
COH.B.theta.l.T4.n.P3,0.0
COH.B.theta.l.T4.o.Pz,0.0
COH.B.theta.l.T4.p.P4,0.0
COH.B.theta.l.T4.q.T6,0.0
COH.B.theta.l.T4.r.O1,0.0
COH.B.theta.l.T4.s.O2,0.0
COH.B.theta.m.T5.o.Pz,0.0
COH.B.theta.m.T5.p.P4,0.0
COH.B.theta.m.T5.r.O1,0.0
COH.B.theta.m.T5.s.O2,0.0
COH.B.theta.n.P3.o.Pz,0.0
COH.B.theta.n.P3.p.P4,0.0
COH.B.theta.n.P3.q.T6,0.0
COH.B.theta.n.P3.r.O1,0.0
COH.B.theta.n.P3.s.O2,0.0
COH.B.theta.o.Pz.p.P4,0.0
COH.B.theta.o.Pz.q.T6,0.0
COH.B.theta.o.Pz.r.O1,0.0
COH.B.theta.o.Pz.s.O2,0.0
COH.B.theta.p.P4.q.T6,0.0
COH.B.theta.p.P4.r.O1,0.0
COH.B.theta.p.P4.s.O2,0.0
COH.B.theta.q.T6.r.O1,0.0
COH.B.theta.q.T6.s.O2,0.0
COH.B.theta.r.O1.s.O2,0.0
COH.C.alpha.a.FP1.b.FP2,0.0
COH.C.alpha.a.FP1.c.F7,0.0
COH.C.alpha.a.FP1.d.F3,0.0
COH.C.alpha.a.FP1.e.Fz,0.0
COH.C.alpha.a.FP1.f.F4,0.0
COH.C.alpha.a.FP1.g.F8,0.0
COH.C.alpha.a.FP1.h.T3,0.0
COH.C.alpha.a.FP1.i.C3,0.0
COH.C.alpha.a.FP1.j.Cz,0.0
COH.C.alpha.a.FP1.k.C4,0.0
COH.C.alpha.a.FP1.l.T4,0.0
COH.C.alpha.a.FP1.m.T5,0.0
COH.C.alpha.a.FP1.n.P3,0.0
COH.C.alpha.a.FP1.o.Pz,0.0
COH.C.alpha.a.FP1.p.P4,0.0
COH.C.alpha.a.FP1.q.T6,0.0
COH.C.alpha.a.FP1.r.O1,0.0
COH.C.alpha.a.FP1.s.O2,0.0
COH.C.alpha.b.FP2.c.F7,0.0
COH.C.alpha.b.FP2.d.F3,0.0
COH.C.alpha.b.FP2.e.Fz,0.0
COH.C.alpha.b.FP2.f.F4,0.0
COH.C.alpha.b.FP2.g.F8,0.0
COH.C.alpha.b.FP2.h.T3,0.0
